key,plasma_source,n_total,n_valid,valid_rate,raw_mean,raw_std,raw_median,raw_q25,raw_q75,raw_min,raw_max,norm_mean,norm_std,norm_median,norm_q25,norm_q75,norm_min,norm_max
AB42_AB40_F,C2N,184,179,0.9728260869565217,0.10140223463687151,0.010589612045516799,0.099,0.095,0.109,0.075,0.153,0.33849018765219885,0.13576425699380512,0.30769230769230776,0.25641025641025644,0.4358974358974359,0.0,1.0
AB42_AB40_F,UPENN,936,933,0.9967948717948718,0.08615340460557343,0.01268401224741831,0.0846,0.0768,0.095471825,0.0454,0.1397,0.43216759921074677,0.13450702277219842,0.4156945917285259,0.33297985153764575,0.5309843584305408,0.0,1.0
pT217_F,C2N,184,181,0.9836956521739131,2.0847569060773483,2.4354082386679328,0.65,0.65,2.468,0.65,12.737,0.11870248250826076,0.20148988489020705,0.0,0.0,0.15040953090096798,0.0,1.0
pT217_F,UPENN,936,936,1.0,0.26866239316239315,0.2963426264662906,0.148,0.09275,0.346,0.03,2.303,0.10499885312907749,0.13037511063189203,0.051913770347558286,0.027606687197536294,0.13902331720193573,0.0,1.0
pT217_AB42_F,C2N,184,181,0.9836956521739131,0.03489005524861878,0.033759412200920255,0.0223,0.013999999999999999,0.038599999999999995,0.0062,0.1777,0.16728895188699,0.19684788455347094,0.09387755102040816,0.04548104956268221,0.18892128279883383,0.0,1.0
pT217_AB42_F,UPENN,936,933,0.9967948717948718,0.010791775703108252,0.012169523987184395,0.005696637,0.003318951,0.01313,0.00101,0.070421941,0.1409235293262906,0.17532320537160018,0.06751917512290861,0.03326446381898469,0.1746097260124162,0.0,1.0
NfL_Q,C2N,184,0,0.0,,,,,,,,,,,,,,
NfL_Q,UPENN,936,935,0.9989316239316239,20.55613903743315,13.352661116412694,17.9,12.6,24.65,3.36,208.0,0.08403117199683913,0.06524951679247798,0.07105160281469898,0.045152462861610634,0.10403635652853793,0.0,1.0
GFAP_Q,C2N,184,0,0.0,,,,,,,,,,,,,,
GFAP_Q,UPENN,936,935,0.9989316239316239,185.14405347593583,120.64553589715443,157.3,107.9,229.8,12.8,1783.0,0.09735852077501742,0.0681536187420373,0.08162919444130606,0.053722743192859565,0.12258501864196136,0.0,1.0
