name,ssim,psnr,mae,mse
114_S_6429,0.9262900352478027,28.639162063598633,0.017763685435056686,0.0013679928379133344
116_S_6750,0.9123703241348267,25.28487205505371,0.028802426531910896,0.0029615070670843124
130_S_6688,0.9224610924720764,33.93992614746094,0.009142243303358555,0.0004036524915136397
070_S_4856,0.9139147400856018,24.551897048950195,0.030998310074210167,0.0035059871152043343
033_S_6889,0.8636478185653687,26.755971908569336,0.025358164682984352,0.002110585104674101
941_S_6384,0.8824852108955383,31.20431900024414,0.013640652410686016,0.0007578236400149763
033_S_6705,0.8478387594223022,24.213401794433594,0.028732357546687126,0.003790179966017604
014_S_6145,0.968612015247345,35.111751556396484,0.007457719184458256,0.0003081944305449724
006_S_6770,0.8718180656433105,23.98451042175293,0.03144317865371704,0.003995295148342848
033_S_10793,0.8705467581748962,27.590063095092773,0.019681766629219055,0.0017417820636183023
019_S_6573,0.8780692219734192,29.587318420410156,0.016298459842801094,0.00109968485776335
114_S_6113,0.9180210828781128,23.8974609375,0.032633524388074875,0.004076185170561075
036_S_10133,0.8951653242111206,24.95794677734375,0.028208192437887192,0.0031930464319884777
035_S_10274,0.9276688098907471,29.49325180053711,0.015351477079093456,0.001123763620853424
941_S_6514,0.9114617109298706,31.96228790283203,0.011260412633419037,0.0006364603759720922
036_S_6466,0.9011427760124207,27.931182861328125,0.018805304542183876,0.0016102067893370986
127_S_6024,0.9091872572898865,27.107467651367188,0.020362654700875282,0.0019464946817606688
127_S_6203,0.9477676153182983,34.51095199584961,0.008265241980552673,0.0003539198369253427
006_S_6441,0.8921324610710144,29.40656280517578,0.015149408020079136,0.001146420487202704
007_S_4488,0.8855729103088379,26.680912017822266,0.022907163947820663,0.0021473783999681473
094_S_6250,0.9376975893974304,32.64041519165039,0.00941123254597187,0.0005444507696665823
094_S_6269,0.9012958407402039,22.44266700744629,0.0393010675907135,0.00569814071059227
137_S_6919,0.8934926986694336,31.747234344482422,0.01192853506654501,0.0006687697023153305
014_S_10157,0.9341991543769836,28.646209716796875,0.015309472568333149,0.0013657748932018876
033_S_10249,0.8960396647453308,27.608009338378906,0.016835490241646767,0.0017345997039228678
035_S_10241,0.876736044883728,28.451862335205078,0.017474452033638954,0.0014282810734584928
003_S_6260,0.861942708492279,22.00045394897461,0.04458661377429962,0.006308913696557283
123_S_10648,0.8902952075004578,22.326038360595703,0.036449186503887177,0.005853238049894571
012_S_6760,0.8982391953468323,30.327865600585938,0.01392601989209652,0.0009272853494621813
941_S_6854,0.9309853315353394,30.240673065185547,0.014450578950345516,0.0009460902656428516
011_S_6465,0.8944591283798218,30.609935760498047,0.014956620521843433,0.0008689728565514088
035_S_6488,0.9293808341026306,29.37984275817871,0.01625789701938629,0.0011534950463101268
022_S_10306,0.9630935192108154,34.483177185058594,0.007441531866788864,0.0003561906050890684
067_S_6957,0.9479191303253174,27.789047241210938,0.022320562973618507,0.0016637776279821992
031_S_4721,0.9136051535606384,29.951078414916992,0.014018087647855282,0.0010113283060491085
057_S_6869,0.8579251766204834,28.724449157714844,0.016353782266378403,0.0013413898414000869
003_S_6644,0.8610417246818542,21.760528564453125,0.041106414049863815,0.006667258683592081
036_S_6897,0.8868883848190308,30.589406967163086,0.013635938055813313,0.0008730906411074102
006_S_6243,0.9001719355583191,29.47132110595703,0.01784595474600792,0.0011294520227238536
033_S_10099,0.8729797601699829,26.31370735168457,0.02726333774626255,0.002336840843781829
941_S_6575,0.8669194579124451,30.472877502441406,0.014000746421515942,0.0008968343609012663
003_S_6833,0.9272370934486389,31.01040267944336,0.011066264472901821,0.0007924276869744062
020_S_6185,0.8998127579689026,24.49355125427246,0.03305485472083092,0.0035534068010747433
